tickIdx,liquidityGross,liquidityNet
265560,1865730727176435,-1865730727176435
265620,24944448820138,-24944448820138
265680,1798314257822284,-1798314257822284
265740,122470980576782,-122470980576782
265800,577386690949472,-577386690949472
265860,272862648673203,-272862648673203
265920,123324877315829,-123324877315829
265980,137892477572760,-137892477572760
266040,966373820085453,-966373820085453
266100,4522255476923326,-4522255476923326
266160,175365852342264,-175365852342264
266220,77675417385599,-77675417385599
266280,92737110405673,-92737110405673
266340,40215843741450,-40215843741450
266400,1649221584209346,-1649221584209346
266460,2830544483442032,-2830544483442032
266520,352524045720551,-352524045720551
266580,225147205679898,-225147205679898
266640,185383582263456,-185383582263456
266700,9314297364941,-9314297364941
266760,10215734284998,-10215734284998
266820,57062614605690,-57062614605690
266880,29024435533499,-29024435533499
267000,18611958918331,-18611958918331
267060,89017272506467,-89017272506467
267120,84586411439866,-84586411439866
267180,2670434136694341,-2670434136694341
267240,199595856491087,-199595856491087
267300,15089075959327,-15089075959327
267360,260348565173864,-260348565173864
267420,1243872893612,-1243872893612
267480,36794146112494,-36794146112494
267540,425067676588,-425067676588
267600,1858912418352,-1858912418352
267660,2534150154618,-2534150154618
267720,1445829043677,-1445829043677
267900,1389921624627,-1389921624627
267960,534852264626,-534852264626
268140,20448157369812,-20448157369812
268200,5180800153281,-5180800153281
268260,44676789332769,-44676789332769
268320,18510069971033,-18510069971033
268440,394823862729,-394823862729
268560,4009932523596,-4009932523596
268620,59057144524343,-59057144524343
268680,34655541716254,-34655541716254
268740,79716063500144,-79716063500144
268800,3227838820316,-3227838820316
268860,77145206372,-77145206372
268920,315156002244,-315156002244
269040,63521396850944,-63521396850944
269100,861696294888,-861696294888
269160,134304562696020,-134304562696020
269220,116527715610,-116527715610
269280,4856577397476,-4856577397476
269340,144207198050976,-144207198050976
269400,255087591530195,-255087591530195
269460,6778569722,-6778569722
269520,85986817909,-85986817909
269580,347279548682,-347279548682
269640,118771237449209,-118771237449209
269700,568180870116,-568180870116
269820,382234240566,-382234240566
269880,407796311478534,-407796311478534
269940,102569633441253,-102569633441253
270000,871668033263,-871668033263
270060,57018641628999,-57018641628999
270120,711605092704,-711605092704
270180,977017524575929,-977017524575929
270240,2126750536938,-2126750536938
270300,8755234752040,-8755234752040
270420,12200343810576,-12200343810576
270480,96527190272424,-96527190272424
270540,3452480860120,-3452480860120
270600,1720821118978,-1720821118978
270660,86560084159311,-86560084159311
270720,127954017181,-127954017181
270840,2027255736251,-2027255736251
270900,5631050005896749,-5631050005896749
270960,3487973060834,-3487973060834
271080,8905887859203,-8905887859203
271140,93645188457,-93645188457
271320,21828351365,-21828351365
271500,7387510370926,-7387510370926
271560,112108854815415,-112108854815415
271620,47236020276923,-47236020276923
