transaction_hash,sender,recipient,gas,gasPrice,gasPriceAdjusted,value,WBTCTokens,ETHTokens,WBTCTokensAdjusted,ETHTokensAdjusted,block,timestamp
0x1f6880c788e0efb16126ef82dfb9a1b2d9c5a004acea0f999a1d5ab49d2f2c6c,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x00C600b30fb0400701010F4b080409018B9006E0,1927877,50598008226,5.0598008226e-08,0.0,109980000,-28041926102647300767,1.0998,-28.041926102647302,21165745,2024-11-11 16:50:23+00:00
0x3266ec4701c485540c63c30491c5ed3388fb733d9ca70247419f9a64f76e7c90,0x4906FA6188f2614f2452a6D5c8dD11030619c493,0x817648d73Fd85c802cfdE8a29Eba9F68b783cA60,500000,44449932649,4.4449932649e-08,0.0,130000000,-33111420458173517781,1.3,-33.11142045817352,21165748,2024-11-11 16:50:59+00:00
0xbf6e4fd86a4e6c5bdd8b9f4e2b74e27b61f49dde7dc73cd851317af3b3ac05c8,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,226232,67183376997,6.7183376997e-08,2.1165781e-11,-73864884,18922274287277901288,-0.73864884,18.9222742872779,21165781,2024-11-11 16:57:35+00:00
0xa16b8de264b6719b891a258644857cf55ddd8fa39862c7627d9aaa4a75e0227b,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,184545,64957150821,6.4957150821e-08,0.0,-103984196,26659241829388546048,-1.03984196,26.659241829388545,21165782,2024-11-11 16:57:47+00:00
0x3d1d59ca8fc0c719761b1912860ef6e2bfab9aaa164adabe3ff0a94d7cfbb038,0x1f2F10D1C40777AE1Da742455c65828FF36Df387,0x56534741CD8B152df6d48AdF7ac51f75169A83b2,375410,116195475274,1.16195475274e-07,2.07e-16,-55549656,14251672578381553035,-0.55549656,14.251672578381553,21165808,2024-11-11 17:03:11+00:00
0xa8479346a25837b9a89def5a3e849b57b0179e35ac998e3fca0372b73b8e4ce9,0xd4bC53434C5e12cb41381A556c3c47e1a86e80E3,0xd4bC53434C5e12cb41381A556c3c47e1a86e80E3,560770,71936370658,7.1936370658e-08,5.9e-17,-76049917,19522425985976762368,-0.76049917,19.522425985976763,21165817,2024-11-11 17:04:59+00:00
0xf2634efb49bb16f54f6b4cffff1a64908f69164bc49ff94905401892810fbc33,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,212082,61672304953,6.1672304953e-08,1.1863306e-11,-99041648,25444058911555542070,-0.99041648,25.44405891155554,21165829,2024-11-11 17:07:23+00:00
0x7f5a60db76c8b0d61794bc41b79d08be188ab138ce6b7d6960c250b5bae8b18c,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,945022,59383528296,5.9383528296e-08,0.0,-265334798,68274305823192176010,-2.65334798,68.27430582319218,21165850,2024-11-11 17:11:35+00:00
0xd117aac355e95a4d3ef8ce65199fa131ef49c648f3f7f0890f97d55ef2102226,0x5D5B7c8A86f833bE90A96FF3860246a93F208bc0,0x0250f06fc76297Fe28D0981F0566F1c0445B3cFE,136568,42969087001,4.2969087001e-08,0.0,47210365,-12086674834978954347,0.47210365,-12.086674834978954,21165985,2024-11-11 17:38:47+00:00
0xcf4f89cc0d683e96dafc51a6fdd8a78be5da9c70534e78204355d43f7302e7f1,0x1BF621Aa9ceE3F6154881c25041bB39AEd4ca7Cc,0x1BF621Aa9ceE3F6154881c25041bB39AEd4ca7Cc,857689,60166584769,6.0166584769e-08,0.0,212860645,-54434032298509532861,2.12860645,-54.434032298509536,21166000,2024-11-11 17:41:47+00:00
